"GEAR_CODE","GEAR","FISHERY_GROUP_CODE","FISHERY_GROUP"
"PS","Purse seine","PS","Purse seine"
"RIN","Ringnet","PS","Purse seine"
"ELL","Longline targeting swordfish","LL","Longline"
"FLL","Longline (fresh)","LL","Longline"
"LL","Longline (deep-freezing)","LL","Longline"
"LLEX","Longline (exploratory)","LL","Longline"
"HAND","Handline","LI","Line"
"HATR","Handline and troll line","LI","Line"
"HLOF","Handline (offshore)","LI","Line"
"LLCO","Coastal longline","LI","Line"
"SPOR","Sport fishing","LI","Line"
"TROL","Troll line","LI","Line"
"GILL","Gillnet","GN","Gillnet"
"GIOF","Gillnet (offshore)","GN","Gillnet"
"RNOF","Ringnet (offshore)","PS","Purse seine"
"SLL","Longline targeting sharks","LL","Longline"
"GIHT","Gillnet, handline and troll line","GN","Gillnet"
"BS","Beach seine","OT","Other"
"UNCL","Unclassified","OT","Other"
"LLTR","Coastal longline and troll line combination","LL","Longline"
"TROLM","Troll line (mechanized)","LI","Line"
"BB","Baitboat","BB","Baitboat"
"BBOF","Baitboat (offshore)","BB","Baitboat"
"HARP","Harpoon","OT","Other"
"PSS","Small purse seine","PS","Purse seine"
"TRAP","Trap","OT","Other"
"HOOK","Hook-and-line","LI","Line"
"TRAW","Trawl","OT","Other"
"CN","Cast net","OT","Other"
"TROLN","Troll line (non-mechanized)","LI","Line"
"BBM","Baitboat (mechanized)","BB","Baitboat"
"BBN","Baitboat (non-mechanized)","BB","Baitboat"
"FN","Fish net","OT","Other"
"LLF","Set longline","LI","Line"
"LG","Longline operated attached to gillnet","LL","Longline"
"GL","Gillnet operated attached to a longline","GN","Gillnet"
"DSEI","Danish seine","OT","Other"
"RR","Rod-and-reel","OT","Other"
"LIFT","Liftnet","OT","Other"
"SBG","Set bagnet","OT","Other"
"BBPS","Baitboat and purse seine","BB","Baitboat"
"DDSEI","Demersal danish seine","OT","Other"
"DL","Dropline (vertical handline)","LI","Line"
"TROT","Trotline","OT","Other"
"RRBB","Rod-and-reel and pole and line","BB","Baitboat"
