"GEAR_CODE","FISHERY_TYPE_CODE","FISHERY_TYPE"
"ELL","IND","Industrial fisheries"
"ELLOB","IND","Industrial fisheries"
"FLL","IND","Industrial fisheries"
"LL","IND","Industrial fisheries"
"LLOB","IND","Industrial fisheries"
"HAND","ART","Artisanal fisheries"
"LLCO","ART","Artisanal fisheries"
"TROL","ART","Artisanal fisheries"
"GILL","ART","Artisanal fisheries"
"FLLOB","IND","Industrial fisheries"
"PSOB","IND","Industrial fisheries"
"PSS","ART","Artisanal fisheries"
"HATR","ART","Artisanal fisheries"
"G/L","ART","Artisanal fisheries"
"GIOF","IND","Industrial fisheries"
"UNCL","ART","Artisanal fisheries"
"RNOF","IND","Industrial fisheries"
"LLEX","IND","Industrial fisheries"
"SPOR","ART","Artisanal fisheries"
"BB","ART","Artisanal fisheries"
"PS","IND","Industrial fisheries"
"RIN","ART","Artisanal fisheries"
"BS","ART","Artisanal fisheries"
"DSEI","ART","Artisanal fisheries"
"LIFT","ART","Artisanal fisheries"
"HOOK","ART","Artisanal fisheries"
"BBOF","IND","Industrial fisheries"
"HARP","ART","Artisanal fisheries"
"GIHA","ART","Artisanal fisheries"
"TRAW","ART","Artisanal fisheries"
"LLHA","ART","Artisanal fisheries"
"HLOF","IND","Industrial fisheries"
"TROLM","ART","Artisanal fisheries"
