FLEET_CODE,GEAR_CODE,SCHOOL_TYPE_CODE,FISHERY_CODE,REGION
AUS,BB,UNCL,BB,
AUS,ELL,UNCL,LL,
AUS,FLL,UNCL,LL,
AUS,GILL,UNCL,GI,
AUS,HAND,UNCL,HD,
AUS,LL,UNCL,LL,
AUS,PS,FS,FS,
AUS,TROL,UNCL,TR,
AUS,HATR,UNCL,HD,
BGD,GILL,UNCL,GI,
BGD,HAND,UNCL,HD,
BGD,LIFT,UNCL,OT,
BGD,LLCO,UNCL,LF,
BGD,SBG,UNCL,OT,
BHR,GILL,UNCL,GI,
BLZ,FLL,UNCL,LF,
BLZ,LL,UNCL,LL,
BLZ,PS,FS,FS,
BLZ,PS,LS,LS,
CHN,FLL,UNCL,LF,
CHN,LL,UNCL,LL,
CHN,LLOB,UNCL,LL,
COM,GILL,UNCL,GI,
COM,HAND,UNCL,HD,
COM,LLCO,UNCL,LF,
COM,TROL,UNCL,TR,
DJI,GILL,UNCL,GI,
EGY,GILL,UNCL,GI,
EGY,HAND,UNCL,HD,
EGY,LLCO,UNCL,LF,
EGY,PSS,UNCL,OT,
EGY,TROL,UNCL,TR,
EUESP,BB,UNCL,BB,
EUESP,ELL,UNCL,LL,
EUESP,PS,FS,FS,
EUESP,PS,LS,LS,
EUFRA,ELLOB,UNCL,LL,
EUFRA,HAND,UNCL,HD,
EUFRA,PS,FS,FS,
EUFRA,PS,LS,LS,
EUFRA,TROL,UNCL,TR,
EUITA,PS,FS,FS,
EUITA,PS,LS,LS,
EUMYT,ELL,UNCL,LL,
EUMYT,ELLOB,UNCL,LL,
EUMYT,HAND,UNCL,HD,
EUMYT,LLCO,UNCL,LF,
EUMYT,PS,FS,FS,
EUMYT,PS,LS,LS,
EUMYT,TROL,UNCL,TR,
EUMYT,HATR,UNCL,HD,
EUPRT,ELL,UNCL,LL,
EUPRT,LLOB,UNCL,LL,
EUREU,ELL,UNCL,LL,
EUREU,ELLOB,UNCL,LL,
EUREU,HAND,UNCL,HD,
EUREU,LLCO,UNCL,LF,
EUREU,TROL,UNCL,TR,
EUREU,HATR,UNCL,HD,
GBR,ELL,UNCL,LL,
GBR,HAND,UNCL,HD,
GBR,LLOB,UNCL,LL,
GBRT,HAND,UNCL,HD,
GIN,ELL,UNCL,LL,
IDN,BB,UNCL,BB,
IDN,BS,UNCL,OT,
IDN,DSEI,UNCL,OT,
IDN,FLL,UNCL,LF,
IDN,FLLOB,UNCL,LF,
IDN,GILL,UNCL,GI,
IDN,GIOF,UNCL,GI,
IDN,HAND,UNCL,HD,
IDN,HLOF,UNCL,HD,
IDN,LIFT,UNCL,OT,
IDN,LL,UNCL,LL,
IDN,LLCO,UNCL,LF,
IDN,PS,LA,LS,
IDN,PS,LS,LS,
IDN,PS,UNCL,OT,
IDN,PSS,UNCL,OT,
IDN,TROL,UNCL,TR,
IND,BB,UNCL,BB,
IND,BS,UNCL,OT,
IND,FLL,UNCL,LF,
IND,GILL,UNCL,GI,
IND,GIOF,UNCL,GI,
IND,HAND,UNCL,HD,
IND,LL,UNCL,LL,
IND,LLCO,UNCL,LF,
IND,LLEX,UNCL,LL,
IND,PSS,UNCL,OT,
IND,TRAW,UNCL,OT,
IND,TROL,UNCL,TR,
IRN,GILL,UNCL,GI,
IRN,GIOF,UNCL,GI,
IRN,HOOK,UNCL,OT,
IRN,LL,UNCL,LL,
IRN,LLCO,UNCL,LF,
IRN,PS,FS,FS,
IRN,PS,LS,LS,
IRN,TROL,UNCL,TR,
JOR,GILL,UNCL,GI,
JOR,HAND,UNCL,HD,
JOR,LLCO,UNCL,LF,
JOR,PSS,UNCL,OT,
JOR,TROL,UNCL,TR,
JPN,GILL,UNCL,OT,
JPN,LL,UNCL,LL,
JPN,LLOB,UNCL,LL,
JPN,PS,FS,FS,
JPN,PS,LS,LS,
JPN,PS,UNCL,LS,
JPN,PSOB,UNCL,LS,
KEN,ELL,UNCL,LL,
KEN,GILL,UNCL,GI,
KEN,HAND,UNCL,HD,
KEN,HARP,UNCL,OT,
KEN,LLCO,UNCL,LF,
KEN,RIN,UNCL,OT,
KEN,SPOR,UNCL,OT,
KEN,TROL,UNCL,TR,
KOR,LL,UNCL,LL,
KOR,LLOB,UNCL,LL,
KOR,PS,FS,FS,
KOR,PS,LS,LS,
KOR,PS,UNCL,LS,
KOR,PSOB,UNCL,LS,
LKA,BB,UNCL,BB,
LKA,BS,UNCL,OT,
LKA,FLL,UNCL,LF,
LKA,G/L,UNCL,GI,
LKA,GILL,UNCL,GI,
LKA,GIOF,UNCL,GI,
LKA,GL,UNCL,GI,
LKA,HAND,UNCL,HD,
LKA,HARP,UNCL,OT,
LKA,HATR,UNCL,HD,
LKA,HLOF,UNCL,OT,
LKA,LG,UNCL,LF,
LKA,LLCO,UNCL,LF,
LKA,LLHA,UNCL,OT,
LKA,PS,LS,LS,
LKA,RIN,UNCL,OT,
LKA,RNOF,UNCL,OT,
LKA,TROL,UNCL,TR,
LKA,TROLM,UNCL,TR,
LKA,UNCL,UNCL,OT,
MDG,BB,UNCL,BB,
MDG,ELL,UNCL,LL,
MDG,LL,UNCL,LL,
MDG,TROL,UNCL,TR,
MDV,BB,FD,BB,
MDV,BB,FS,BB,
MDV,BB,LA,BB,
MDV,BB,LS,BB,
MDV,BB,UNCL,BB,
MDV,BBM,UNCL,BB,
MDV,BBN,UNCL,BB,
MDV,BBOF,FD,BB,
MDV,BBOF,FS,BB,
MDV,BBOF,LA,BB,
MDV,BBOF,UNCL,BB,
MDV,FLL,UNCL,LF,
MDV,FN,UNCL,OT,
MDV,HAND,FD,HD,
MDV,HAND,FS,HD,
MDV,HAND,LA,HD,
MDV,HAND,LS,HD,
MDV,HAND,UNCL,HD,
MDV,HLOF,UNCL,HD,
MDV,LL,FD,LL,
MDV,LL,UNCL,LL,
MDV,LLCO,UNCL,LF,
MDV,TROL,LA,TR,
MDV,TROL,UNCL,TR,
MDV,TROLM,UNCL,TR,
MDV,TROLN,UNCL,TR,
MDV,UNCL,UNCL,OT,
MOZ,ELL,UNCL,LL,
MOZ,FLL,UNCL,LL,
MOZ,HAND,UNCL,HD,
MOZ,PSS,UNCL,OT,
MOZ,SPOR,UNCL,OT,
MOZ,FLLOB,UNCL,LF,
MUS,ELL,UNCL,LL,
MUS,FLL,UNCL,LF,
MUS,HAND,UNCL,HD,
MUS,HATR,UNCL,HD,
MUS,LL,UNCL,LL,
MUS,LLCO,UNCL,LF,
MUS,PS,FS,FS,
MUS,PS,LS,LS,
MUS,PS,UNCL,LS,
MUS,PSOB,LS,LS,
MUS,PSOB,UNCL,LS,
MUS,SPOR,UNCL,OT,
MUS,TROL,UNCL,TR,
MYS,FLL,UNCL,LF,
MYS,LL,UNCL,LL,
MYS,PS,FS,FS,
MYS,PS,LS,LS,
NEICE,FLL,UNCL,LF,
NEIDN,FLL,UNCL,LF,
NEIFR,ELL,UNCL,LL,
NEIFR,LL,UNCL,LL,
NEIPS,PS,FS,FS,
NEIPS,PS,LS,LS,
NEISU,PS,FS,FS,
NEISU,PS,LS,LS,
OMN,BS,UNCL,OT,
OMN,CN,UNCL,OT,
OMN,FLL,UNCL,LF,
OMN,GIHA,UNCL,GI,
OMN,GILL,UNCL,GI,
OMN,GIOF,UNCL,GI,
OMN,HAND,UNCL,HD,
OMN,LL,UNCL,LL,
OMN,TRAP,UNCL,OT,
OMN,TROL,UNCL,TR,
PAK,GILL,UNCL,GI,
PAK,HAND,UNCL,HD,
PAK,LL,UNCL,LL,
PAK,TROL,UNCL,TR,
PHL,LL,UNCL,LL,
PHL,PS,LS,LS,
QAT,GILL,UNCL,GI,
