FLEET,GEAR_CODE,SCHOOL_TYPE_CODE,FISHERY,A1,A2,A3,A4
AUS,BB,UNCL,OT,,,,A4
AUS,ELL,UNCL,LL,,A2,,A4
AUS,FLL,UNCL,LL,,A2,,A4
AUS,GILL,UNCL,OT,,A4,,A4
AUS,HAND,UNCL,OT,,A4,,A4
AUS,LL,UNCL,LL,,,,A4
AUS,PS,FS,PS,,,,A4
AUS,RR,UNCL,OT,,A4,,A4
AUS,TROL,UNCL,OT,,,,A4
BGD,HAND,UNCL,OT,,A2,,
BGD,LIFT,UNCL,OT,,A2,,
BHR,GILL,UNCL,OT,A1,,,
BLZ,FLL,UNCL,LL,A1,A2,A3,A4
BLZ,LL,UNCL,LL,A1,A2,A3,A4
BLZ,PS,FS,PS,A1,,,
BLZ,PS,LS,PS,A1,,,
CHN,FLL,UNCL,LL,A1,A2,A3,A4
CHN,LL,UNCL,LL,A1,A2,A3,A4
CHN,LLOB,UNCL,LL,A1,A2,A3,
COM,GILL,UNCL,OT,A1,,,
COM,HAND,UNCL,OT,A1,,,
COM,LLCO,UNCL,LL,A1,,,
COM,TROL,UNCL,OT,A1,,,
DJI,GILL,UNCL,OT,A1,,,
EUESP,ELL,UNCL,LL,A1,A2,A3,A4
EUESP,LLEX,UNCL,LL,A1,A2,,A4
EUESP,PS,FS,PS,A1,A2,,
EUESP,PS,LS,PS,A1,A2,A3,
EUFRA,ELLOB,UNCL,LL,A1,,,
EUFRA,PS,FS,PS,A1,A2,,
EUFRA,PS,LS,PS,A1,A2,,
EUITA,PS,FS,PS,A1,,,
EUITA,PS,LS,PS,A1,,,
EUMYT,ELL,UNCL,LL,A1,,A3,
EUMYT,HAND,UNCL,OT,A1,,,
EUMYT,LLCO,UNCL,LL,A1,,,
EUMYT,PS,FS,PS,A1,,,
EUMYT,PS,LS,PS,A1,A2,,
EUMYT,TROL,UNCL,OT,A1,,,
EUPRT,ELL,UNCL,LL,A1,A2,A3,A4
EUPRT,LLOB,UNCL,LL,A1,A2,A3,A4
EUREU,ELL,UNCL,LL,A1,,A3,
EUREU,ELLOB,UNCL,LL,A1,,A3,
EUREU,HAND,UNCL,OT,A1,,,
