FLEET,GEAR_CODE,SCHOOL_TYPE_CODE,FISHERY,A1,A2
AUS,BB,UNCL,Other,A1,A2
AUS,ELL,UNCL,LL,A1,A2
AUS,GILL,UNCL,GL,A1,A2
AUS,HAND,UNCL,LI,A1,A2
AUS,PS,FS,Other,A1,A2
AUS,PSS,UNCL,Other,A1,A2
AUS,SPOR,UNCL,LI,A1,A2
AUS,TRAP,UNCL,Other,A1,A2
AUS,TRAW,UNCL,Other,A1,A2
AUS,TROL,UNCL,LI,A1,A2
BGD,HAND,UNCL,LI,A1,A2
BGD,GILL,UNCL,GL,A1,A2
BGD,LIFT,UNCL,Other,A1,A2
BGD,LLCO,UNCL,LI,A1,A2
BGD,TRAW,UNCL,Other,A1,A2
BHR,GILL,UNCL,GL,A1,A2
BLZ,FLL,UNCL,LL,A1,A2
BLZ,LL,UNCL,LL,A1,A2
BLZ,PS,FS,Other,A1,A2
BLZ,PS,LS,Other,A1,A2
CHN,FLL,UNCL,LL,A1,A2
CHN,LL,UNCL,LL,A1,A2
CHN,LLOB,UNCL,LL,A1,A2
COM,GILL,UNCL,GL,A1,A2
COM,HAND,UNCL,LI,A1,A2
COM,LLCO,UNCL,LI,A1,A2
COM,TROL,UNCL,LI,A1,A2
DJI,GILL,UNCL,GL,A1,A2
ESP,BB,UNCL,Other,A1,A2
ESP,ELL,UNCL,LL,A1,A2
ESP,LLEX,UNCL,LL,A1,A2
ESP,PS,FS,PSFS,A1,A2
ESP,PS,LS,PSLS,A1,A2
EUESP,BB,UNCL,Other,A1,A2
EUESP,ELL,UNCL,LL,A1,A2
EUESP,LLEX,UNCL,LL,A1,A2
EUESP,PS,FS,PSFS,A1,A2
EUESP,PS,LS,PSLS,A1,A2
EUFRA,HAND,UNCL,LI,A1,A2
EUFRA,PS,FS,PSFS,A1,A2
EUFRA,PS,LS,PSLS,A1,A2
EUFRA,TROL,UNCL,LI,A1,A2
EUGBR,ELL,UNCL,LL,A1,A2
EUITA,PS,FS,PSFS,A1,A2
EUITA,PS,LS,PSLS,A1,A2
EUMYT,HAND,UNCL,LI,A1,A2
EUMYT,PS,FS,PSFS,A1,A2
EUMYT,PS,LS,PSLS,A1,A2
EUMYT,TROL,UNCL,LI,A1,A2
EUPRT,ELL,UNCL,LL,A1,A2
EUPRT,LLOB,UNCL,LL,A1,A2
EUREU,ELL,UNCL,LL,A1,A2
EUREU,ELLOB,UNCL,LL,A1,A2
EUREU,HAND,UNCL,LI,A1,A2
EUREU,LLCO,UNCL,LI,A1,A2
EUREU,TROL,UNCL,LI,A1,A2
FRA,PS,FS,PSFS,A1,A2
FRA,PS,LS,PSLS,A1,A2
FRA-REU,ELL,UNCL,LL,A1,A2
FRA-REU,TROL,UNCL,LI,A1,A2
FRAT,HAND,UNCL,LI,A1,A2
FRAT,PS,FS,PSFS,A1,A2
FRAT,PS,LS,PSLS,A1,A2
FRAT,TROL,UNCL,LI,A1,A2
GBR,ELL,UNCL,LL,A1,A2
GBR,HAND,UNCL,LI,A1,A2
GBRT,HAND,UNCL,LI,A1,A2
GIN,ELL,UNCL,LL,A1,A2
IDN,BB,UNCL,Other,A1,A2
IDN,BS,UNCL,Other,A1,A2
IDN,DSEI,UNCL,Other,A1,A2
IDN,FLL,UNCL,LL,A1,A2
IDN,GILL,UNCL,GL,A1,A2
IDN,HAND,UNCL,LI,A1,A2
IDN,HLOF,UNCL,LI,A1,A2
IDN,LIFT,UNCL,Other,A1,A2
IDN,LL,UNCL,LL,A1,A2
IDN,LLCO,UNCL,LI,A1,A2
IDN,LLF,UNCL,Other,A1,A2
IDN,PS,LS,Other,A1,A2
IDN,PS,UNCL,Other,A1,A2
IDN,PSS,UNCL,Other,A1,A2
IDN,TROL,UNCL,LI,A1,A2
