FLEET,GEAR_CODE,SCHOOL_TYPE_CODE,FISHERY,A1
AUS,BB,UNCL,Other,A1
AUS,ELL,UNCL,LL,A1
AUS,GILL,UNCL,GL,A1
AUS,HAND,UNCL,LI,A1
AUS,PS,FS,Other,A1
AUS,PSS,UNCL,Other,A1
AUS,SPOR,UNCL,LI,A1
AUS,TRAP,UNCL,Other,A1
AUS,TRAW,UNCL,Other,A1
AUS,TROL,UNCL,LI,A1
BGD,HAND,UNCL,LI,A1
BGD,GILL,UNCL,GL,A1
BGD,LIFT,UNCL,Other,A1
BGD,LLCO,UNCL,LI,A1
BGD,TRAW,UNCL,Other,A1
BHR,GILL,UNCL,GL,A1
BLZ,FLL,UNCL,LL,A1
BLZ,LL,UNCL,LL,A1
BLZ,PS,FS,Other,A1
BLZ,PS,LS,Other,A1
CHN,FLL,UNCL,LL,A1
CHN,LL,UNCL,LL,A1
CHN,LLOB,UNCL,LL,A1
COM,GILL,UNCL,GL,A1
COM,HAND,UNCL,LI,A1
COM,LLCO,UNCL,LI,A1
COM,TROL,UNCL,LI,A1
DJI,GILL,UNCL,GL,A1
ESP,BB,UNCL,Other,A1
ESP,ELL,UNCL,LL,A1
ESP,LLEX,UNCL,LL,A1
ESP,PS,FS,PSFS,A1
ESP,PS,LS,PSLS,A1
EUESP,BB,UNCL,Other,A1
EUESP,ELL,UNCL,LL,A1
EUESP,LLEX,UNCL,LL,A1
EUESP,PS,FS,PSFS,A1
EUESP,PS,LS,PSLS,A1
EUFRA,HAND,UNCL,LI,A1
EUFRA,PS,FS,PSFS,A1
EUFRA,PS,LS,PSLS,A1
EUFRA,TROL,UNCL,LI,A1
EUGBR,ELL,UNCL,LL,A1
EUITA,PS,FS,PSFS,A1
EUITA,PS,LS,PSLS,A1
EUMYT,HAND,UNCL,LI,A1
EUMYT,PS,FS,PSFS,A1
EUMYT,PS,LS,PSLS,A1
EUMYT,TROL,UNCL,LI,A1
EUPRT,ELL,UNCL,LL,A1
EUPRT,LLOB,UNCL,LL,A1
EUREU,ELL,UNCL,LL,A1
EUREU,ELLOB,UNCL,LL,A1
EUREU,HAND,UNCL,LI,A1
EUREU,LLCO,UNCL,LI,A1
EUREU,TROL,UNCL,LI,A1
FRA,PS,FS,PSFS,A1
FRA,PS,LS,PSLS,A1
FRA-REU,ELL,UNCL,LL,A1
FRA-REU,TROL,UNCL,LI,A1
FRAT,HAND,UNCL,LI,A1
FRAT,PS,FS,PSFS,A1
FRAT,PS,LS,PSLS,A1
FRAT,TROL,UNCL,LI,A1
GBR,ELL,UNCL,LL,A1
GBR,HAND,UNCL,LI,A1
GBRT,HAND,UNCL,LI,A1
GIN,ELL,UNCL,LL,A1
IDN,BB,UNCL,Other,A1
IDN,BS,UNCL,Other,A1
IDN,DSEI,UNCL,Other,A1
IDN,FLL,UNCL,LL,A1
IDN,GILL,UNCL,GL,A1
IDN,HAND,UNCL,LI,A1
IDN,HLOF,UNCL,LI,A1
IDN,LIFT,UNCL,Other,A1
IDN,LL,UNCL,LL,A1
IDN,LLCO,UNCL,LI,A1
IDN,LLF,UNCL,Other,A1
IDN,PS,LS,Other,A1
IDN,PS,UNCL,Other,A1
IDN,PSS,UNCL,Other,A1
IDN,TROL,UNCL,LI,A1
IND,BB,UNCL,Other,A1
IND,BS,UNCL,Other,A1
IND,FLL,UNCL,LL,A1
IND,GILL,UNCL,GL,A1
IND,GIOF,UNCL,GL,A1
IND,HAND,UNCL,LI,A1
IND,LIFT,UNCL,Other,A1
IND,LL,UNCL,LL,A1
IND,LLCO,UNCL,LI,A1
IND,LLEX,UNCL,LL,A1
IND,PSS,UNCL,Other,A1
IND,RIN,UNCL,Other,A1
IND,TRAW,UNCL,Other,A1
IND,TROL,UNCL,LI,A1
IRN,GILL,UNCL,GL,A1
IRN,GIOF,UNCL,GL,A1
IRN,HAND,UNCL,LI,A1
IRN,PS,FS,Other,A1
IRN,PS,LS,Other,A1
IRN,PS,UNCL,Other,A1
JOR,BB,UNCL,Other,A1
JOR,GILL,UNCL,GL,A1
JOR,HAND,UNCL,LI,A1
JOR,LLCO,UNCL,LI,A1
JOR,OTHER,UNCL,Other,A1
JOR,PSS,UNCL,Other,A1
JOR,SPOR,UNCL,LI,A1
JOR,TROL,UNCL,LI,A1
JPN,GILL,UNCL,GL,A1
JPN,LL,UNCL,LL,A1
JPN,LLOB,UNCL,LL,A1
JPN,PS,FS,Other,A1
JPN,PS,LS,Other,A1
JPN,PS,UNCL,Other,A1
JPN,PSOB,UNCL,Other,A1
KEN,ELL,UNCL,LL,A1
KEN,GILL,UNCL,GL,A1
KEN,HAND,UNCL,LI,A1
KEN,SPOR,UNCL,LI,A1
KEN,TROL,UNCL,LI,A1
KOR,BB,UNCL,Other,A1
KOR,LL,UNCL,LL,A1
KOR,LLOB,UNCL,LL,A1
KOR,PS,FS,PSFS,A1
KOR,PS,LS,PSLS,A1
KOR,PS,UNCL,PSLS,A1
KOR,PSOB,UNCL,PSLS,A1
LKA,BB,UNCL,Other,A1
LKA,BS,UNCL,Other,A1
LKA,FLL,UNCL,LL,A1
LKA,G/L,UNCL,GL,A1
LKA,GILL,UNCL,GL,A1
LKA,GIOF,UNCL,GL,A1
LKA,GL,UNCL,GL,A1
LKA,HAND,UNCL,LI,A1
LKA,HLOF,UNCL,LI,A1
LKA,HARP,UNCL,Other,A1
LKA,HATR,UNCL,LI,A1
LKA,LG,UNCL,LL,A1
LKA,LL,UNCL,LL,A1
LKA,LLCO,UNCL,LI,A1
LKA,PS,LS,Other,A1
LKA,RIN,UNCL,Other,A1
LKA,RNOF,UNCL,Other,A1
LKA,TROL,UNCL,LI,A1
LKA,TROLM,UNCL,LI,A1
LKA,UNCL,UNCL,Other,A1
MDG,BB,UNCL,Other,A1
MDG,ELL,UNCL,LL,A1
MDG,LL,UNCL,LL,A1
MDG,TROL,UNCL,LI,A1
MDV,BB,FD,PL,A1
MDV,BB,FS,PL,A1
MDV,BB,LA,PL,A1
MDV,BB,LS,PL,A1
MDV,BB,UNCL,PL,A1
MDV,BBM,UNCL,PL,A1
MDV,BBN,UNCL,PL,A1
MDV,BBOF,UNCL,PL,A1
MDV,BBOF,FS,PL,A1
MDV,BBOF,LA,PL,A1
MDV,BBOF,FD,PL,A1
MDV,FLL,UNCL,LL,A1
MDV,FN,UNCL,Other,A1
MDV,HAND,FS,LI,A1
MDV,HAND,UNCL,LI,A1
MDV,HLOF,UNCL,LI,A1
MDV,LL,UNCL,LL,A1
MDV,LLCO,UNCL,LI,A1
MDV,TROL,LA,LI,A1
MDV,TROL,UNCL,LI,A1
MDV,TROLM,UNCL,LI,A1
MDV,TROLN,UNCL,LI,A1
MDV,UNCL,UNCL,Other,A1
MOZ,BS,UNCL,Other,A1
MOZ,ELL,UNCL,LL,A1
MOZ,FLL,UNCL,LL,A1
MOZ,GILL,UNCL,GL,A1
MOZ,HAND,UNCL,LI,A1
MOZ  ,PSS,UNCL,Other,A1
MOZ,SPOR,UNCL,LI,A1
MOZ,TROL,UNCL,LI,A1
MUS,ELL,UNCL,LL,A1
MUS,FLL,UNCL,LL,A1
MUS,HAND,UNCL,LI,A1
MUS,LL,UNCL,LL,A1
MUS,PS,FS,Other,A1
MUS,PS,LS,Other,A1
MUS,PS,UNCL,Other,A1
MUS,PSOB,LS,Other,A1
MUS,PSOB,UNCL,Other,A1
MUS,SPOR,UNCL,LI,A1
MUS,TROL,UNCL,LI,A1
MYS,FLL,UNCL,LL,A1
MYS,GILL,UNCL,GL,A1
MYS,PS,FS,Other,A1
MYS,PS,LS,Other,A1
MYS,PSS,UNCL,Other,A1
MYS,TRAW,UNCL,Other,A1
MYS,TROL,UNCL,LI,A1
NEICE,FLL,UNCL,LL,A1
NEI-DFRZ,ELL,UNCL,LL,A1
NEI-DFRZ,LL,UNCL,LL,A1
NEIFR,ELL,UNCL,LL,A1
NEIFR,LL,UNCL,LL,A1
NEI-ICE,FLL,UNCL,LL,A1
NEI-OTH,PS,FS,Other,A1
NEI-OTH,PS,LS,Other,A1
NEIPS,PS,FS,PSFS,A1
NEIPS,PS,LS,PSLS,A1
NEISU,PS,FS,Other,A1
NEISU,PS,LS,Other,A1
NEI-SUN,PS,FS,Other,A1
NEI-SUN,PS,LS,Other,A1
OMN,BS,UNCL,Other,A1
OMN,FN,UNCL,Other,A1
OMN,GILL,UNCL,GL,A1
OMN,GIOF,UNCL,GL,A1
OMN,HAND,UNCL,LI,A1
OMN,TRAP,UNCL,Other,A1
OMN,TROL,UNCL,LI,A1
PAK,GILL,UNCL,GL,A1
PHL,LL,UNCL,LL,A1
PHL,PS,LS,Other,A1
PRT,ELL,UNCL,LL,A1
QAT,GILL,UNCL,GL,A1
SEN,ELL,UNCL,LL,A1
SUN,GILL,UNCL,GL,A1
SUN,LL,UNCL,LL,A1
SUN,PS,FS,Other,A1
SUN,PS,LS,Other,A1
SUN,PSS,UNCL,Other,A1
SYC,BB,UNCL,PL,A1
SYC,GILL,UNCL,GL,A1
SYC,HAND,UNCL,LI,A1
SYC,LL,UNCL,LL,A1
SYC,PS,FS,PSFS,A1
SYC,PS,LS,PSLS,A1
SYC,PS,UNCL,PSLS,A1
SYC,TROL,UNCL,LI,A1
THA,FLL,UNCL,LL,A1
THA,LL,UNCL,LL,A1
THA,PS,FS,Other,A1
THA,PS,LS,Other,A1
THA,PSS,UNCL,Other,A1
TMP,GILL,UNCL,GL,A1
TWN,FLL,UNCL,LL,A1
TWN,GILL,UNCL,GL,A1
TWN,LL,UNCL,LL,A1
TWN,LLOB,UNCL,LL,A1
TZA,BB,UNCL,Other,A1
TZA,ELL,UNCL,LL,A1
TZA,FLL,UNCL,LL,A1
TZA,GILL,UNCL,GL,A1
TZA,HAND,UNCL,LI,A1
TZA  ,LL,UNCL,LL,A1
TZA,OTHER,UNCL,Other,A1
TZA,PS,FS,PSFS,A1
TZA,PS,LS,PSLS,A1
TZA,PSS,UNCL,Other,A1
TZA,TROL,UNCL,LI,A1
YEM,GILL,UNCL,GL,A1
YEM,HAND,UNCL,LI,A1
YEM,TROL,UNCL,LI,A1
ZAF,ELL,UNCL,LL,A1
ZAF,GILL,UNCL,GL,A1
ZAF,LL,UNCL,LL,A1
ZAF,SPOR,UNCL,LI,A1
ZAF,TROL,UNCL,LI,A1
