FLEET,GEAR_CODE,SCHOOL_TYPE_CODE,FISHERY,NE,SE,SW,NW,WS,ES
AUS,ELL,UNCL,AUEL,SE,SE,SE,SE,SE,SE
AUS,FLL,UNCL,AUEL,SE,SE,SE,SE,SE,SE
AUS,HAND,UNCL,TWFL,SE,SE,SE,SE,SE,SE
BLZ,FLL,UNCL,TWFL,NE,SE,SW,NW,WS,ES
BLZ,LL,UNCL,TWLL,NE,SE,SW,NW,WS,ES
CHN,FLL,UNCL,TWFL,NE,SE,SW,NW,WS,ES
CHN,LL,UNCL,TWLL,NE,SE,SW,NW,WS,ES
CHN,LLOB,UNCL,TWLL,NE,SE,SW,NW,WS,ES
COM,GILL,UNCL,ALGI,SW,SW,SW,SW,SW,SW
COM,HAND,UNCL,TWFL,NW,NW,NW,NW,NW,NW
COM,LLCO,UNCL,TWFL,NW,NW,NW,NW,NW,NW
COM,TROL,UNCL,ALGI,NW,NW,NW,NW,NW,NW
EGY,GILL,UNCL,ALGI,NW,NW,NW,NW,NW,NW
EGY,HAND,UNCL,TWFL,NW,NW,NW,NW,NW,NW
EGY,TROL,UNCL,ALGI,NW,NW,NW,NW,NW,NW
ESP,ELL,UNCL,EUEL,NE,SE,SW,NW,WS,ES
ESP,LLEX,UNCL,EUEL,NE,SE,SW,NW,WS,ES
EUESP,ELL,UNCL,EUEL,NE,SE,SW,NW,WS,ES
EUESP,LL,UNCL,EUEL,NE,SE,SW,NW,WS,ES
EUESP,LLEX,UNCL,EUEL,NE,SE,SW,NW,WS,ES
EUFRA,ELL,UNCL,EUEL,NE,SE,SW,NW,WS,ES
EUFRA,ELLOB,UNCL,EUEL,NE,SE,SW,NW,WS,ES
EUFRA,HAND,UNCL,EUEL,NW,NW,NW,NW,NW,NW
EUGBR,ELL,UNCL,EUEL,NE,SE,SW,NW,WS,ES
EUGBR,LLOB,UNCL,EUEL,NE,SE,SW,NW,WS,ES
EUMYT,ELL,UNCL,ISEL,NW,NW,NW,NW,NW,NW
EUMYT,ELLOB,UNCL,ISEL,NW,NW,NW,NW,NW,NW
EUMYT,HAND,UNCL,TWFL,NW,NW,NW,NW,NW,NW
EUMYT,TROL,UNCL,ALGI,NW,NW,NW,NW,NW,NW
EUPRT,ELL,UNCL,EUEL,NE,SE,SW,NW,WS,ES
EUPRT,LLOB,UNCL,EUEL,NE,SE,SW,NW,WS,ES
EUREU,ELL,UNCL,ISEL,SW,SW,SW,SW,SW,SW
EUREU,ELLOB,UNCL,EUEL,NE,SE,SW,NW,WS,ES
EUREU,HAND,UNCL,TWFL,SW,SW,SW,SW,SW,SW
EUREU,LLCO,UNCL,TWFL,SW,SW,SW,SW,SW,SW
EUREU,TROL,UNCL,ALGI,SW,SW,SW,SW,SW,SW
FRAT,ELL,UNCL,ISEL,NW,NW,NW,NW,NW,NW
FRAT,HAND,UNCL,TWFL,NW,NW,NW,NW,NW,NW
FRAT,TROL,UNCL,ALGI,NW,NW,NW,NW,NW,NW
GBR,ELL,UNCL,EUEL,NE,SE,SW,NW,WS,ES
GBR,LL,UNCL,EUEL,NE,SE,SW,NW,WS,ES
GIN,ELL,UNCL,EUEL,NE,SE,SW,NW,WS,ES
IDN,DSEI,UNCL,ALGI,NE,NE,NE,NE,NE,NE
IDN,FLL,UNCL,TWFL,NE,NE,NE,NE,NE,NE
IDN,GILL,UNCL,ALGI,NE,NE,NE,NE,NE,NE
IDN,HAND,UNCL,TWFL,NE,NE,NE,NE,NE,NE
IDN,HLOF,UNCL,TWFL,NE,NE,NE,NE,NE,NE
IDN,LL,UNCL,TWLL,NE,SE,SW,NW,WS,ES
IDN,LLCO,UNCL,TWFL,NE,NE,NE,NE,NE,NE
IDN,PSS,UNCL,ALGI,NE,NE,NE,NE,NE,NE
IDN,TROL,UNCL,ALGI,NE,NE,NE,NE,NE,NE
IND,BB,UNCL,ALGI,NE,SE,SW,NW,WS,ES
IND,FLL,UNCL,TWFL,NE,SE,SW,NW,WS,ES
IND,GILL,UNCL,ALGI,NE,SE,SW,NW,WS,ES
IND,GIOF,UNCL,ALGI,NE,SE,SW,NW,WS,ES
IND,HAND,UNCL,TWFL,NE,SE,SW,NW,WS,ES
IND,HARP,UNCL,ALGI,NE,SE,SW,NW,WS,ES
IND,LIFT,UNCL,ALGI,NE,SE,SW,NW,WS,ES
IND,LL,UNCL,TWLL,NE,SE,SW,NW,WS,ES
IND,LLCO,UNCL,TWFL,NE,SE,SW,NW,WS,ES
IND,LLEX,UNCL,TWFL,NE,SE,SW,NW,WS,ES
IND,TRAW,UNCL,ALGI,NE,SE,SW,NW,WS,ES
IND,TROL,UNCL,ALGI,NE,SE,SW,NW,WS,ES
IRN,GILL,UNCL,ALGI,NW,NW,NW,NW,NW,NW
IRN,GIOF,UNCL,ALGI,NW,NW,NW,NW,NW,NW
IRN,LL,UNCL,TWLL,NE,SE,SW,NW,WS,ES
JOR,GILL,UNCL,ALGI,NW,NW,NW,NW,NW,NW
JOR,HAND,UNCL,TWFL,NW,NW,NW,NW,NW,NW
JOR,TROL,UNCL,ALGI,NW,NW,NW,NW,NW,NW
JPN,GILL,UNCL,ALGI,NE,NE,NE,NE,NE,NE
JPN,LL,UNCL,JPLL,NE,SE,SW,NW,WS,ES
JPN,LLOB,UNCL,JPLL,NE,SE,SW,NW,WS,ES
KEN,ELL,UNCL,EUEL,NE,SE,SW,NW,WS,ES
KEN,GILL,UNCL,ALGI,NE,SE,SW,NW,WS,ES
KEN,HAND,UNCL,TWFL,NE,SE,SW,NW,WS,ES
KEN,LLCO,UNCL,TWFL,NW,NW,NW,NW,NW,NW
KEN,SPOR,UNCL,ALGI,NW,NW,NW,NW,NW,NW
KEN,TROL,UNCL,ALGI,NW,NW,NW,NW,NW,NW
KOR,LL,UNCL,JPLL,NE,SE,SW,NW,WS,ES
KOR,LLOB,UNCL,JPLL,NE,SE,SW,NW,WS,ES
LKA,FLL,UNCL,TWFL,NE,NE,NE,NE,NE,NE
LKA,G/L,UNCL,ALGI,NE,NE,NE,NE,NE,NE
LKA,GILL,UNCL,ALGI,NE,NE,NE,NE,NE,NE
LKA,GIOF,UNCL,ALGI,NE,NE,NE,NE,NE,NE
LKA,GL,UNCL,ALGI,NE,NE,NE,NE,NE,NE
LKA,HAND,UNCL,TWFL,NE,NE,NE,NE,NE,NE
LKA,HATR,UNCL,ALGI,NE,NE,NE,NE,NE,NE
LKA,HLOF,UNCL,TWFL,NE,NE,NE,NE,NE,NE
LKA,LG,UNCL,TWFL,NE,NE,NE,NE,NE,NE
LKA,LL,UNCL,TWFL,NE,SE,SW,NW,WS,ES
LKA,LLCO,UNCL,TWFL,NE,NE,NE,NE,NE,NE
LKA,RIN,UNCL,ALGI,NE,NE,NE,NE,NE,NE
LKA,RNOF,UNCL,ALGI,NE,NE,NE,NE,NE,NE
LKA,TROL,UNCL,ALGI,NE,NE,NE,NE,NE,NE
LKA,TROLM,UNCL,ALGI,NE,NE,NE,NE,NE,NE
LKA,UNCL,UNCL,ALGI,NE,NE,NE,NE,NE,NE
MDG,ELL,UNCL,ISEL,SW,SW,SW,SW,SW,SW
MDG,LL,UNCL,TWLL,NE,SE,SW,NW,WS,ES
MDV,FLL,UNCL,TWFL,NE,NE,NE,NE,NE,NE
MDV,LL,UNCL,TWLL,NE,SE,SW,NW,WS,ES
MDV,LLCO,UNCL,TWFL,NW,NW,NW,NW,NW,NW
MDV,TROL,UNCL,ALGI,NW,NW,NW,NW,NW,NW
MOZ,ELL,UNCL,EUEL,SW,SW,SW,SW,SW,SW
MOZ,FLL,UNCL,EUEL,SW,SW,SW,SW,SW,SW
MOZ,HAND,UNCL,TWFL,SW,SW,SW,SW,SW,SW
MOZ,SPOR,UNCL,ALGI,SW,SW,SW,SW,SW,SW
MOZ,TROL,UNCL,ALGI,SW,SW,SW,SW,SW,SW
MUS,ELL,UNCL,ISEL,SW,SW,SW,SW,SW,SW
MUS,FLL,UNCL,ISEL,NE,SE,SW,NW,WS,ES
MUS,LL,UNCL,ISEL,NE,SE,SW,NW,WS,ES
MUS,SPOR,UNCL,ALGI,SW,SW,SW,SW,SW,SW
MYS,FLL,UNCL,TWFL,NE,SE,SW,NW,WS,ES
MYS,GILL,UNCL,ALGI,NE,NE,NE,NE,NE,NE
NEICE,FLL,UNCL,TWFL,NE,SE,SW,NW,WS,ES
NEIDN,FLL,UNCL,TWFL,SE,SE,SE,SE,SE,SE
NEIFR,ELL,UNCL,TWLL,NE,SE,SW,NW,WS,ES
NEIFR,LL,UNCL,TWLL,NE,SE,SW,NW,WS,ES
NEIFR,TLL,UNCL,TWLL,SW,SW,SW,SW,SW,SW
OMN,BS,UNCL,ALGI,NE,SE,SW,NW,WS,ES
OMN,FLL,UNCL,TWFL,NW,NW,NW,NW,NW,NW
OMN,GILL,UNCL,ALGI,NW,NW,NW,NW,NW,NW
OMN,GIOF,UNCL,ALGI,NE,SE,SW,NW,WS,ES
OMN,HAND,UNCL,TWFL,NW,NW,NW,NW,NW,NW
OMN,LL,UNCL,JPLL,NE,SE,SW,NW,WS,ES
PAK,GILL,UNCL,ALGI,NW,NW,NW,NW,NW,NW
PHL,LL,UNCL,TWLL,NE,SE,SW,NW,WS,ES
PRT,ELL,UNCL,EUEL,NE,SE,SW,NW,WS,ES
PRT,LL,UNCL,EUEL,NE,SE,SW,NW,WS,ES
