FLEET,GEAR_CODE,SCHOOL_TYPE_CODE,FISHERY,R1a,R1b,R2,R3,R4,R0
AUS,BB,UNCL,BB,,,,R1b,,
AUS,ELL,UNCL,LL,,,,R3,R4,R0
AUS,FLL,UNCL,LL,,,,R3,,
AUS,GILL,UNCL,GI,,,,R4,,R0
AUS,HAND,UNCL,HD,,,,R1a,,R0
AUS,LL,UNCL,LL,,,,,,R0
AUS,PS,FS,FS,,,,,,R0
AUS,TROL,UNCL,TR,,,,R4,R4,R0
BGD,GILL,UNCL,GI,,,,,R4,
BGD,HAND,UNCL,HD,,,,,R1a,
BGD,LIFT,UNCL,OT,,,,,R4,
BGD,LLCO,UNCL,LF,,,,,R4,
BGD,SBG,UNCL,OT,,,,,R4,
BHR,GILL,UNCL,GI,R1a,,,,,
BLZ,FLL,UNCL,LF,R4,R4,R4,R4,R4,R0
BLZ,LL,UNCL,LL,R1a,R1b,R2,R3,R4,R0
BLZ,PS,FS,FS,R1b,R1b,R2,,R4,
BLZ,PS,LS,LS,R1b,R1b,R2,,R4,
CHN,FLL,UNCL,LF,R4,R4,R4,R4,R4,R0
CHN,LL,UNCL,LL,R1a,R1b,R2,R3,R4,
CHN,LLOB,UNCL,LL,,R1b,R2,R3,R4,
COM,GILL,UNCL,GI,,,R1a,,,
COM,HAND,UNCL,HD,,R1a,R1a,,,
COM,LLCO,UNCL,LF,,R4,R4,,,
COM,TROL,UNCL,TR,,R2,R2,,,
DJI,GILL,UNCL,GI,R1a,,,,,
EGY,GILL,UNCL,GI,R1a,,,,,
EGY,HAND,UNCL,HD,R1a,,,,,
EGY,LLCO,UNCL,LF,R4,,,,,
EGY,PSS,UNCL,OT,R1a,,,,,
EGY,TROL,UNCL,TR,R1b,,,,,
EUESP,BB,UNCL,BB,,R1b,R1b,,,
EUESP,ELL,UNCL,LL,R1a,R1b,R2,R3,R4,R0
EUESP,PS,FS,FS,R1b,R1b,R2,,R4,
EUESP,PS,LS,LS,R1b,R1b,R2,R4,R4,
EUFRA,ELLOB,UNCL,LL,,,R2,,,
EUFRA,HAND,UNCL,HD,,R1a,R1a,,,
EUFRA,PS,FS,FS,R1b,R1b,R2,,R4,
EUFRA,PS,LS,LS,R1b,R1b,R2,R3,R4,
EUFRA,TROL,UNCL,TR,,R2,R2,,,
EUITA,PS,FS,FS,,R1b,,,R4,
EUITA,PS,LS,LS,,R1b,R2,,,
EUMYT,ELL,UNCL,LL,,,R2,R3,,
EUMYT,ELLOB,UNCL,LL,,R1b,R2,,,
EUMYT,HAND,UNCL,HD,,R1b,R1a,,,
EUMYT,LLCO,UNCL,LF,,,R4,,,
EUMYT,PS,FS,FS,,R1b,R2,,R4,
EUMYT,PS,LS,LS,R1b,R1b,R2,,R4,
EUMYT,TROL,UNCL,TR,,R1b,R2,,,
EUPRT,ELL,UNCL,LL,,R1b,R2,R3,,
EUPRT,LLOB,UNCL,LL,,,R2,R3,,
EUREU,ELL,UNCL,LL,,R1b,R2,R3,,
EUREU,ELLOB,UNCL,LL,,,R2,R3,,
EUREU,HAND,UNCL,HD,,R1a,R1a,,,
EUREU,LLCO,UNCL,LF,,,R4,,,
EUREU,TROL,UNCL,TR,,R1b,R2,,,
GBR,ELL,UNCL,LL,,,R2,R3,,
GBR,HAND,UNCL,HD,,R1a,,,,
GBR,LLOB,UNCL,LL,,,R2,R3,,
GBRT,HAND,UNCL,HD,,R1a,,,,R0
GIN,ELL,UNCL,LL,,,R2,R3,R4,R0
IDN,BB,UNCL,BB,,,,,R1b,
IDN,BS,UNCL,OT,,,,,R4,
IDN,DSEI,UNCL,OT,,,,,R4,R0
IDN,FLL,UNCL,LF,,,,R4,R4,R0
IDN,FLLOB,UNCL,LF,,,,R3,R4,
IDN,GILL,UNCL,GI,,,,,R4,
IDN,GIOF,UNCL,GI,,,,,R4,
IDN,HAND,UNCL,HD,,,,R1a,R1a,
IDN,HLOF,UNCL,HD,,,,R1a,R1a,
IDN,LIFT,UNCL,OT,,,,,R4,R0
IDN,LL,UNCL,LL,,,,R3,R4,R0
IDN,LLCO,UNCL,LF,,,,R4,R4,
IDN,PS,LA,LS,,,,,R4,
IDN,PS,LS,LS,,,,R3,R4,
IDN,PS,UNCL,OT,,,,,R4,
IDN,PSS,UNCL,OT,,,,,R4,
IDN,TROL,UNCL,TR,,,,,R4,
IND,BB,UNCL,BB,R1b,R1b,,,R1b,
IND,BS,UNCL,OT,R1a,R1a,,,R4,R0
IND,FLL,UNCL,LF,R4,R4,R4,R4,R4,R0
IND,GILL,UNCL,GI,R1a,,,,R4,
IND,GIOF,UNCL,GI,R1a,R1a,,,R4,
IND,HAND,UNCL,HD,R1a,,,,R1a,R0
IND,LL,UNCL,LL,R1a,R1b,R2,R3,R4,R0
IND,LLCO,UNCL,LF,R4,,,,R4,
IND,LLEX,UNCL,LL,R1a,R1b,,,R4,
IND,PSS,UNCL,OT,R1a,,,,R4,
IND,TRAW,UNCL,OT,R1a,,,,R4,
IND,TROL,UNCL,TR,R1b,,,,R4,
IRN,GILL,UNCL,GI,R1a,,,,,
IRN,GIOF,UNCL,GI,R1a,R1a,,,,
IRN,HOOK,UNCL,OT,R1a,,,,,R0
IRN,LL,UNCL,LL,R1a,R1b,R2,R3,R4,R0
IRN,LLCO,UNCL,LF,R4,R4,,,,
IRN,PS,FS,FS,R1b,R1b,R2,,R4,
IRN,PS,LS,LS,R1b,R1b,R2,R4,R4,
IRN,TROL,UNCL,TR,R1b,,,,,
JOR,GILL,UNCL,GI,R1a,,,,,
JOR,HAND,UNCL,HD,R1a,,,,,
JOR,LLCO,UNCL,LF,R4,,,,,
JOR,PSS,UNCL,OT,R1a,,,,,
JOR,TROL,UNCL,TR,R1b,,,,,R0
JPN,GILL,UNCL,OT,,,,R4,R4,R0
JPN,LL,UNCL,LL,R1a,R1b,R2,R3,R4,R0
JPN,LLOB,UNCL,LL,,R1b,R2,R3,R4,R0
