"FISHING_GROUND_CODE","DESCRIPTION_EN","DESCRIPTION_FR","AREA_TYPE_CODE"
"5100043","00° - 01°N; 043° - 044°E","00° - 01°N; 043° - 044°E","GRID01x01"
"5100046","00° - 01°N; 046° - 047°E","00° - 01°N; 046° - 047°E","GRID01x01"
"5100047","00° - 01°N; 047° - 048°E","00° - 01°N; 047° - 048°E","GRID01x01"
"5100048","00° - 01°N; 048° - 049°E","00° - 01°N; 048° - 049°E","GRID01x01"
"5100049","00° - 01°N; 049° - 050°E","00° - 01°N; 049° - 050°E","GRID01x01"
"5100050","00° - 01°N; 050° - 051°E","00° - 01°N; 050° - 051°E","GRID01x01"
"5100051","00° - 01°N; 051° - 052°E","00° - 01°N; 051° - 052°E","GRID01x01"
"5100052","00° - 01°N; 052° - 053°E","00° - 01°N; 052° - 053°E","GRID01x01"
"5100053","00° - 01°N; 053° - 054°E","00° - 01°N; 053° - 054°E","GRID01x01"
"5100054","00° - 01°N; 054° - 055°E","00° - 01°N; 054° - 055°E","GRID01x01"
"5100055","00° - 01°N; 055° - 056°E","00° - 01°N; 055° - 056°E","GRID01x01"
"5100056","00° - 01°N; 056° - 057°E","00° - 01°N; 056° - 057°E","GRID01x01"
"5100057","00° - 01°N; 057° - 058°E","00° - 01°N; 057° - 058°E","GRID01x01"
"5100058","00° - 01°N; 058° - 059°E","00° - 01°N; 058° - 059°E","GRID01x01"
"5100059","00° - 01°N; 059° - 060°E","00° - 01°N; 059° - 060°E","GRID01x01"
"5100060","00° - 01°N; 060° - 061°E","00° - 01°N; 060° - 061°E","GRID01x01"
"5100061","00° - 01°N; 061° - 062°E","00° - 01°N; 061° - 062°E","GRID01x01"
"5100062","00° - 01°N; 062° - 063°E","00° - 01°N; 062° - 063°E","GRID01x01"
"5100063","00° - 01°N; 063° - 064°E","00° - 01°N; 063° - 064°E","GRID01x01"
"5100064","00° - 01°N; 064° - 065°E","00° - 01°N; 064° - 065°E","GRID01x01"
"5100065","00° - 01°N; 065° - 066°E","00° - 01°N; 065° - 066°E","GRID01x01"
"5100066","00° - 01°N; 066° - 067°E","00° - 01°N; 066° - 067°E","GRID01x01"
"5100067","00° - 01°N; 067° - 068°E","00° - 01°N; 067° - 068°E","GRID01x01"
"5100068","00° - 01°N; 068° - 069°E","00° - 01°N; 068° - 069°E","GRID01x01"
"5100069","00° - 01°N; 069° - 070°E","00° - 01°N; 069° - 070°E","GRID01x01"
"5100070","00° - 01°N; 070° - 071°E","00° - 01°N; 070° - 071°E","GRID01x01"
"5100072","00° - 01°N; 072° - 073°E","00° - 01°N; 072° - 073°E","GRID01x01"
"5100073","00° - 01°N; 073° - 074°E","00° - 01°N; 073° - 074°E","GRID01x01"
"5100074","00° - 01°N; 074° - 075°E","00° - 01°N; 074° - 075°E","GRID01x01"
"5100075","00° - 01°N; 075° - 076°E","00° - 01°N; 075° - 076°E","GRID01x01"
"5100076","00° - 01°N; 076° - 077°E","00° - 01°N; 076° - 077°E","GRID01x01"
