"FLEET_CODE","NAME_EN","NAME_FR"
"EUESP","EU.SPAIN","UE.ESPAGNE"
"COM","COMOROS","COMORES"
"MYS","MALAYSIA","MALAISIE"
"PHL","PHILIPPINES","PHILIPPINES"
"EUITA","EU.ITALY","EU.ITALIE"
"KOR","KOREA REP.","CORÉE RÉP."
"SYC","SEYCHELLES","SEYCHELLES"
"MDV","MALDIVES","MALDIVES"
"ZAF","SOUTH AFRICA","AFRIQUE DU SUD"
"IRN","IRAN ISLAMIC REP.","IRAN RÉP. ISLAMIQUE"
"EUMYT","EU.FRANCE.MAYOTTE","UE.FRANCE.MAYOTTE"
"TZA","TANZANIA","TANZANIE"
"LKA","SRI LANKA","SRI LANKA"
"CHN","CHINA","CHINE"
"TWN","TAIWAN,CHINA","TAIWAN,CHINE"
"MUS","MAURITIUS","MAURICE"
"EUREU","EU.FRANCE.REUNION","UE.FRANCE.RÉUNION"
"JPN","JAPAN","JAPON"
"EUPRT","EU.PORTUGAL","UE.PORTUGAL"
"AUS","AUSTRALIA","AUSTRALIE"
"GBR","UNITED KINGDOM","ROYAUME-UNI"
"NEICE","NEI.FRESH","NCA.FRAIS"
"MOZ","MOZAMBIQUE","MOZAMBIQUE"
"IDN","INDONESIA","INDONÉSIE"
"NEIPS","NEI.OTHER","NCA.AUTRE"
