"GEAR_CODE","NAME_EN","NAME_FR"
"ELL","Longline targeting swordfish","Palangre à espadon"
"ELLOB","Longline targeting swordfish with observer","Palangre à espadon avec observateur"
"FLL","Longline fresh","Palangre fraiche"
"GILL","Gillnet","Filet maillant"
"GIOF","Offshore gillnet","Filet maillant pêche hauturière"
"HAND","Handline","Ligne à main"
"HATR","Hand line and troll line","Ligne à main et ligne de traîne"
"LL","Longline","Palangre dérivante au-dessus de 1800 hameçons"
"LLCO","Coastal longline","Petite palangre"
"LLOB","Longline with observer","Palangrier avec observateur"
"PS","Purse seine","Senne tournante aux thons"
"PSOB","Purse with observer","Senne tournante avec observateur"
"PSS","Small purse seine","Petite senne côtière"
"RNOF","Ring net (offshore)","Lampara (hauturière)"
"TROL","Troll line","Ligne de traîne"
